id,date,speed,day_type,seasons,rainfall,storm_days
0,1/1/2017 0:00,43.00293016,2,1,11,0
1,1/1/2017 1:00,46.11869568,2,1,11,0
2,1/1/2017 2:00,44.29415804,2,1,11,0
3,1/1/2017 3:00,41.06746764,2,1,11,0
4,1/1/2017 4:00,46.44865313,2,1,11,0
5,1/1/2017 5:00,46.79776582,2,1,11,0
6,1/1/2017 6:00,44.4049252,2,1,11,0
7,1/1/2017 7:00,45.25589692,2,1,11,0
8,1/1/2017 8:00,45.68085866,2,1,11,0
9,1/1/2017 9:00,48.43567634,2,1,11,0
10,1/1/2017 10:00,49.4570539,2,1,11,0
11,1/1/2017 11:00,41.9685186,2,1,11,0
12,1/1/2017 12:00,42.72473472,2,1,11,0
13,1/1/2017 13:00,47.93645857,2,1,11,0
14,1/1/2017 14:00,45.97188063,2,1,11,0
15,1/1/2017 15:00,41.35986149,2,1,11,0
16,1/1/2017 16:00,43.86803313,2,1,11,0
17,1/1/2017 17:00,47.61554073,2,1,11,0
18,1/1/2017 18:00,38.35276019,2,1,11,0
19,1/1/2017 19:00,47.26892837,2,1,11,0
20,1/1/2017 20:00,46.44475569,2,1,11,0
21,1/1/2017 21:00,41.9819084,2,1,11,0
22,1/1/2017 22:00,39.81723982,2,1,11,0
23,1/1/2017 23:00,44.27782113,2,1,11,0
24,2/1/2017 0:00,47.62156284,1,1,11,0
25,2/1/2017 1:00,47.07016077,1,1,11,0
26,2/1/2017 2:00,46.89492264,1,1,11,0
27,2/1/2017 3:00,47.0613949,1,1,11,0
28,2/1/2017 4:00,47.01615626,1,1,11,0
29,2/1/2017 5:00,44.82629585,1,1,11,0
30,2/1/2017 6:00,42.37291267,1,1,11,0
31,2/1/2017 7:00,41.03940657,1,1,11,0
32,2/1/2017 8:00,28.42375086,1,1,11,0
33,2/1/2017 9:00,33.6611834,1,1,11,0
34,2/1/2017 10:00,39.49302198,1,1,11,0
35,2/1/2017 11:00,32.44394381,1,1,11,0
36,2/1/2017 12:00,22.15993177,1,1,11,0
37,2/1/2017 13:00,24.32208805,1,1,11,0
38,2/1/2017 14:00,25.68121704,1,1,11,0
39,2/1/2017 15:00,23.9444901,1,1,11,0
40,2/1/2017 16:00,18.73019161,1,1,11,0
41,2/1/2017 17:00,18.97422526,1,1,11,0
42,2/1/2017 18:00,20.09936358,1,1,11,0
43,2/1/2017 19:00,30.30038076,1,1,11,0
44,2/1/2017 20:00,38.23933239,1,1,11,0
45,2/1/2017 21:00,44.18686543,1,1,11,0
46,2/1/2017 22:00,42.60273783,1,1,11,0
47,2/1/2017 23:00,44.89217148,1,1,11,0
48,3/1/2017 0:00,48.66582335,0,1,11,0
49,3/1/2017 1:00,49.25749603,0,1,11,0
50,3/1/2017 2:00,46.44221828,0,1,11,0
51,3/1/2017 3:00,48.86047714,0,1,11,0
52,3/1/2017 4:00,47.15122779,0,1,11,0
53,3/1/2017 5:00,45.46067216,0,1,11,0
54,3/1/2017 6:00,43.32843989,0,1,11,0
55,3/1/2017 7:00,23.93352837,0,1,11,0
56,3/1/2017 8:00,16.92674997,0,1,11,0
57,3/1/2017 9:00,19.09222538,0,1,11,0
58,3/1/2017 10:00,33.11256658,0,1,11,0
59,3/1/2017 11:00,19.44291389,0,1,11,0
60,3/1/2017 12:00,29.79058532,0,1,11,0
61,3/1/2017 13:00,30.78994075,0,1,11,0
62,3/1/2017 14:00,20.2138749,0,1,11,0
63,3/1/2017 15:00,18.05015491,0,1,11,0
64,3/1/2017 16:00,23.04990915,0,1,11,0
65,3/1/2017 17:00,20.7917376,0,1,11,0
66,3/1/2017 18:00,14.15768031,0,1,11,0
67,3/1/2017 19:00,24.53891079,0,1,11,0
68,3/1/2017 20:00,37.97752767,0,1,11,0
69,3/1/2017 21:00,45.28052513,0,1,11,0
70,3/1/2017 22:00,43.53418423,0,1,11,0
71,3/1/2017 23:00,47.21748539,0,1,11,0
72,4/1/2017 0:00,48.15083185,0,1,11,0
73,4/1/2017 1:00,48.88211979,0,1,11,0
74,4/1/2017 2:00,48.57938307,0,1,11,0
75,4/1/2017 3:00,49.31266229,0,1,11,0
76,4/1/2017 4:00,48.53270165,0,1,11,0
